OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
1,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2998804,30.5557568
2,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2998907,30.55575507
3,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.299901,30.55575335
4,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999113,30.55575162
5,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999216,30.55574989
6,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999319,30.55574816
7,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999422,30.55574644
8,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999525,30.55574471
9,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999628,30.55574298
10,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999731,30.55574126
11,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999834,30.55573953
12,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.2999937,30.5557378
13,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300004,30.55573607
14,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000143,30.55573435
15,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000246,30.55573262
16,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000349,30.55573089
17,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000452,30.55572916
18,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000555,30.55572744
19,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000658,30.55572571
20,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000759,30.5557234
21,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000855,30.55571927
22,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3000951,30.55571514
23,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001047,30.55571101
24,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001143,30.55570687
25,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001239,30.55570274
26,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001335,30.55569861
27,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001431,30.55569448
28,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001527,30.55569035
29,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001622,30.55568622
30,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001718,30.55568208
31,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001814,30.55567795
32,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300191,30.55567382
33,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002006,30.55566969
34,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002102,30.55566556
35,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002198,30.55566143
36,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002294,30.55565729
37,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300239,30.55565316
38,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002486,30.55564903
39,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002582,30.5556449
40,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002677,30.55564077
41,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002773,30.55563664
42,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002869,30.5556325
43,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002935,30.55562462
44,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3002997,30.55561622
45,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003059,30.55560781
46,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003121,30.5555994
47,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003183,30.555591
48,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003245,30.55558259
49,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003307,30.55557418
50,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003369,30.55556578
